[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0]
#---------- Next Move ------------
[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0]
[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1]
#---------- Next Move ------------
[1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1]
[1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1]
#---------- Next Move ------------
[1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1]
[1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1]
#---------- Next Move ------------
[1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1]
[1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]
#---------- Next Move ------------
[1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]
[1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]
#---------- Next Move ------------
[1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]
[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
#---------- Next Move ------------
[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0]
#---------- Next Move ------------
[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0]
[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1]
#---------- Next Move ------------
[1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1]
[1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1]
#---------- Next Move ------------
[1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1]
[1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1]
#---------- Next Move ------------
[1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1]
[1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]
